"","control","instnm","ccbasic","stabbr","female","first_gen","poverty_rate","veteran","unemp_rate","ug_whitenh","ug_aianold","ug_api","ug_blacknh","ug_hispold","ug_nra","ug_unkn","year"
"36",2,"Hampton University",16,"VA",0.691535151,0.197511664,9.569999695,NA,4.010000229,NA,NA,NA,NA,NA,NA,NA,"latest"
"37",1,"University of Washington-Seattle Campus",15,"WA",0.574635542,0.327274533,6.570000172,0.003040873,3.619999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"38",1,"Marshall University",16,"WV",0.586842761,0.374023174,13.22000027,0.002741092,3.890000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"39",1,"West Virginia University",15,"WV",0.501255903,0.303916338,9.159999847,0.001708028,3.359999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"40",1,"The University of Alabama",15,"AL",0.615252417,0.225712689,10.05000019,0.003974221,3.25999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"41",1,"University of Alaska Fairbanks",16,"AK",0.594048288,0.398832685,8.449999809,0.01459854,6.559999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"42",1,"University of South Alabama",16,"AL",0.622936763,0.334257975,12.5,0.003215434,3.900000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"43",1,"University of Arkansas",15,"AR",0.558819396,0.259961487,9.56000042,0.002951511,3.799999952,NA,NA,NA,NA,NA,NA,NA,"latest"
"44",1,"University of California-Riverside",15,"CA",0.576886903,0.483469907,11.28999996,0.001410769,4.389999866,NA,NA,NA,NA,NA,NA,NA,"latest"
"45",2,"Claremont Graduate University",16,"CA",0.6,NA,8.569999695,NA,4,NA,NA,NA,NA,NA,NA,NA,"latest"
"46",1,"University of California-Davis",15,"CA",0.626724138,0.408311428,8.539999962,0.002586207,3.849999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"47",1,"Clemson University",15,"SC",0.50370934,0.172454385,7.550000191,NA,3.049999952,NA,NA,NA,NA,NA,NA,NA,"latest"
"48",1,"East Tennessee State University",16,"TN",0.583421666,0.376894809,10.48999977,0.002331991,3.160000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"49",1,"Tennessee State University",16,"TN",0.661152468,0.374283896,12.28999996,0.00303281,4.239999771,NA,NA,NA,NA,NA,NA,NA,"latest"
"50",2,"Texas Christian University",16,"TX",0.602783726,0.204058625,6.46999979,NA,2.839999914,NA,NA,NA,NA,NA,NA,NA,"latest"
"51",1,"The University of Texas Rio Grande Valley",16,"TX",0.575874375,0.525982476,30.62000084,0.004568166,6.28000021,NA,NA,NA,NA,NA,NA,NA,"latest"
"52",2,"Brigham Young University-Provo",16,"UT",0.47952785,0.137956889,8.039999962,0.002950941,3.349999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"53",2,"Marquette University",16,"WI",0.585407001,0.193462898,5.170000076,NA,2.890000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"54",2,"University of New England",16,"ME",0.7390681,0.220730798,5.840000153,NA,2.75999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"55",2,"Clark University",16,"MA",0.656084656,0.162952646,6.489999771,NA,2.970000029,NA,NA,NA,NA,NA,NA,NA,"latest"
"56",2,"Harvard University",15,"MA",0.501538462,0.25708061,7.769999981,NA,3.460000038,NA,NA,NA,NA,NA,NA,NA,"latest"
"57",2,"Worcester Polytechnic Institute",16,"MA",0.364922207,0.13377193,5.429999828,NA,2.769999981,NA,NA,NA,NA,NA,NA,NA,"latest"
"58",1,"University of Massachusetts-Dartmouth",16,"MA",0.508088676,0.351889339,6.210000038,0.005392451,3.130000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"59",2,"The New School",16,"NY",0.753630203,0.194401244,8.979999542,NA,3.670000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"60",1,"Stony Brook University",15,"NY",0.510155721,0.361408882,9.020000458,NA,3.559999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"61",2,"Wake Forest University",16,"NC",0.507772021,0.119680851,5.329999924,NA,2.670000076,NA,NA,NA,NA,NA,NA,NA,"latest"
"62",1,"University of Cincinnati-Main Campus",15,"OH",0.559846792,0.309751925,7.110000134,0.005346313,2.910000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"63",1,"University of California-Merced",16,"CA",0.536360938,0.574139976,8.539999962,NA,3.849999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"64",2,"Clarkson University",16,"NY",0.299855491,0.152870992,7.159999847,NA,3.589999914,NA,NA,NA,NA,NA,NA,NA,"latest"
"65",1,"CUNY City College",16,"NY",0.537749288,0.459653179,21.60000038,0.003027066,6.389999866,NA,NA,NA,NA,NA,NA,NA,"latest"
"66",2,"Fordham University",16,"NY",0.613884298,0.176408451,9.079999924,0.003636364,3.640000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"67",2,"Rensselaer Polytechnic Institute",15,"NY",0.344230769,0.137450199,5.860000134,NA,3.049999952,NA,NA,NA,NA,NA,NA,NA,"latest"
"68",1,"East Carolina University",16,"NC",0.593396951,0.264602804,9.399999619,0.00274213,3.369999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"69",2,"Case Western Reserve University",15,"OH",0.472095151,0.108512629,6.449999809,NA,3.00999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"70",1,"North Dakota State University-Main Campus",16,"ND",0.478885316,0.172780797,6.590000153,0.003215434,2.859999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"71",1,"Wayne State University",15,"MI",0.595097211,0.376020088,11.52999973,0.00267681,4.650000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"72",1,"University of Nebraska-Lincoln",15,"NE",0.525061037,0.220236292,5.940000057,NA,2.25999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"73",1,"University of New Hampshire-Main Campus",15,"NH",0.557601955,0.174486235,4.130000114,0.003194888,2.50999999,NA,NA,NA,NA,NA,NA,NA,"latest"
"74",1,"Arizona State University-Tempe",15,"AZ",0.556830661,0.381317921,7.710000038,0.006534153,3.150000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"75",2,"Princeton University",15,"NJ",0.51364366,0.27739726,6.769999981,NA,3.529999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"76",1,"Rutgers University-Camden",16,"NJ",0.553944444,0.345829486,6.019999981,0.004277778,3.529999971,NA,NA,NA,NA,NA,NA,NA,"latest"
"77",2,"Seton Hall University",16,"NJ",0.541560645,0.278962002,6.769999981,NA,3.579999924,NA,NA,NA,NA,NA,NA,NA,"latest"
"78",2,"Stevens Institute of Technology",16,"NJ",0.284735812,0.154943935,5.679999828,NA,3.140000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"79",1,"Oklahoma State University-Main Campus",15,"OK",0.525759954,0.286319613,9.010000229,0.004424147,2.950000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"80",2,"University of Pennsylvania",15,"PA",0.572133169,0.187635106,7.010000229,0.007398274,3.400000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"81",1,"Utah State University",16,"UT",0.549590875,0.283578174,7.389999866,0.003223407,3.569999933,NA,NA,NA,NA,NA,NA,NA,"latest"
"82",1,"Old Dominion University",16,"VA",0.60197664,0.332137112,7.599999905,0.005390836,3.039999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"83",1,"North Carolina A & T State University",16,"NC",0.569954356,0.280862182,10.72999954,0.002182973,4.119999886,NA,NA,NA,NA,NA,NA,NA,"latest"
"84",1,"Air Force Institute of Technology-Graduate School of Engineering & Management",16,"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"85",1,"Bowling Green State University-Main Campus",16,"OH",0.601310686,0.303294847,5.980000019,0.002808613,2.940000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"86",1,"Kent State University at Kent",16,"OH",0.63649635,0.359402985,6.920000076,0.005561349,2.940000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"87",2,"Azusa Pacific University",16,"CA",0.725888325,0.379825992,7.949999809,0.005801305,3.829999924,NA,NA,NA,NA,NA,NA,NA,"latest"
"88",2,"Chapman University",16,"CA",0.647474199,0.17877412,8.31000042,NA,4,NA,NA,NA,NA,NA,NA,NA,"latest"
"89",1,"University of California-Berkeley",15,"CA",0.546496254,0.345800525,8.56000042,0.002644337,3.690000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"90",1,"University of California-Los Angeles",15,"CA",0.603156959,0.380891393,10.07999992,0.002779013,4.070000172,NA,NA,NA,NA,NA,NA,NA,"latest"
"91",1,"University of Colorado Denver/Anschutz Medical Campus",15,"CO",0.579268293,0.379420488,5.599999905,0.006097561,2.809999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"92",1,"University of Kentucky",15,"KY",0.568774704,0.233600886,9.06000042,0.002371542,2.99000001,NA,NA,NA,NA,NA,NA,NA,"latest"
"93",1,"Michigan Technological University",16,"MI",0.277468354,0.18537859,5.980000019,NA,3.450000048,NA,NA,NA,NA,NA,NA,NA,"latest"
"94",1,"New Jersey Institute of Technology",15,"NJ",0.209484818,0.344036697,7.800000191,0.003752985,4.019999981,NA,NA,NA,NA,NA,NA,NA,"latest"
"95",1,"University of New Mexico-Main Campus",15,"NM",0.583267293,0.410344389,15.77000046,0.004415261,4.989999771,NA,NA,NA,NA,NA,NA,NA,"latest"
"96",2,"Nova Southeastern University",16,"FL",0.745901639,0.373340143,9.199999809,0.007741348,3.630000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"97",1,"University of Idaho",16,"ID",0.505815886,0.317876106,8.270000458,0.004320372,4.239999771,NA,NA,NA,NA,NA,NA,NA,"latest"
"98",1,"Wichita State University",16,"KS",0.593413979,0.363389328,6.900000095,0.007840502,3.089999914,NA,NA,NA,NA,NA,NA,NA,"latest"
"99",2,"Tulane University of Louisiana",15,"LA",0.604547976,0.180011689,9.210000038,NA,3.349999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"100",1,"University of Louisiana at Lafayette",16,"LA",0.61641286,0.384858044,15.47999954,0.002199662,4.340000153,NA,NA,NA,NA,NA,NA,NA,"latest"
"101",1,"University of Maryland-Baltimore County",16,"MD",0.493952721,0.274018127,4.920000076,0.004123145,2.74000001,NA,NA,NA,NA,NA,NA,NA,"latest"
"102",1,"University of Maryland Eastern Shore",16,"MD",0.588596982,0.357506361,9.479999542,NA,4.260000229,NA,NA,NA,NA,NA,NA,NA,"latest"
"103",2,"Johns Hopkins University",15,"MD",0.517218543,0.131271478,6.179999828,NA,3.039999962,NA,NA,NA,NA,NA,NA,NA,"latest"
"104",2,"Illinois Institute of Technology",16,"IL",0.30011325,0.322376738,6.590000153,NA,3.410000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"105",1,"Southern Illinois University-Carbondale",16,"IL",0.489628925,0.352519502,8.949999809,0.006470029,3.910000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"106",1,"University of Iowa",15,"IA",0.562304321,0.223128536,5.369999886,0.001753287,2.660000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"107",2,"Emory University",15,"GA",0.660647902,0.163870246,6.059999943,NA,2.910000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"108",1,"Georgia Institute of Technology-Main Campus",15,"GA",0.377437326,0.149151318,6.269999981,NA,2.960000038,NA,NA,NA,NA,NA,NA,NA,"latest"
"109",1,"Boise State University",16,"ID",0.56921797,0.33470852,7.199999809,0.003993344,3.359999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"110",1,"University of Massachusetts-Boston",16,"MA",0.569020416,0.430542986,9.010000229,0.008428545,3.309999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"111",2,"Boston University",15,"MA",0.654662533,0.169382716,5.769999981,NA,2.900000095,NA,NA,NA,NA,NA,NA,NA,"latest"
"112",2,"Brandeis University",15,"MA",0.602708804,0.163069544,5.699999809,NA,3,NA,NA,NA,NA,NA,NA,NA,"latest"
"113",1,"Central Michigan University",16,"MI",0.592287234,0.293298035,6.139999866,0.002792553,3.410000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"114",1,"Eastern Michigan University",16,"MI",0.610537751,0.344196429,6.900000095,0.002987507,3.359999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"115",2,"Tufts University",15,"MA",0.458241758,0.152954809,6.119999886,NA,3.059999943,NA,NA,NA,NA,NA,NA,NA,"latest"
"116",2,"Northeastern University",15,"MA",0.541089566,0.185158151,5.690000057,0.003924284,2.859999895,NA,NA,NA,NA,NA,NA,NA,"latest"
"117",1,"Auburn University",15,"AL",0.531504671,0.172647119,9.590000153,0.002385212,3.140000105,NA,NA,NA,NA,NA,NA,NA,"latest"
"118",1,"Arkansas State University-Main Campus",16,"AR",0.610874916,0.388266797,13.39000034,NA,3.75,NA,NA,NA,NA,NA,NA,NA,"latest"
"119",1,"University of Arkansas at Little Rock",16,"AR",0.646490999,0.391040462,10.96000004,0.006000522,3.630000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"120",1,"University of California-Santa Barbara",15,"CA",0.577854131,0.424005811,9.479999542,NA,4.099999905,NA,NA,NA,NA,NA,NA,NA,"latest"
"121",1,"Colorado School of Mines",16,"CO",0.283748925,0.154464286,5.170000076,NA,2.630000114,NA,NA,NA,NA,NA,NA,NA,"latest"
"122",1,"Colorado State University-Fort Collins",15,"CO",0.549675487,0.242137123,5.110000134,0.005741388,2.75,NA,NA,NA,NA,NA,NA,NA,"latest"
"123",1,"Arizona State University-Skysong",16,"AZ",0.556830661,0.381317921,NA,0.006534153,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"124",2,"University of Tulsa",16,"OK",0.494208494,0.228494624,7.329999924,NA,2.910000086,NA,NA,NA,NA,NA,NA,NA,"latest"
"125",2,"Villanova University",16,"PA",0.579468473,0.12574204,4.460000038,NA,2.690000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"126",1,"Texas A & M University-Corpus Christi",16,"TX",0.625494854,0.390052356,13.21000004,0.003365004,3.940000057,NA,NA,NA,NA,NA,NA,NA,"latest"
"127",1,"University of Houston",15,"TX",0.525710015,0.404927134,9.920000076,0.004035874,3.819999933,NA,NA,NA,NA,NA,NA,NA,"latest"
"128",2,"Rice University",15,"TX",0.451816746,0.144758735,7.420000076,NA,3.109999895,NA,NA,NA,NA,NA,NA,NA,"latest"
