"","control","university","r_status","state","female","first_gen","poverty_rate","veteran","unemp_rate","white","black","hispanic","asian","indigenous","nhpi","nra","unknown","year"
"22",1,"University of Memphis","R2","TN",0.601940402,0.367559988,11.98999977,0.003465004,4.099999905,0.4703,0.3658,0.0563,0.0364,0.0021,6e-04,0.017,0.0117,"latest"
"23",2,"Baylor University","R2","TX",0.603382984,0.17109067,7.460000038,0.003282,3.119999886,0.6275,0.0593,0.1576,0.0657,0.0038,8e-04,0.0335,0.0049,"latest"
"24",1,"Texas A & M University-Kingsville","R2","TX",0.556596794,0.4587834,19.01000023,0.005178792,4.679999828,0.1554,0.0621,0.7162,0.0096,0.0012,7e-04,0.0461,0.0031,"latest"
"25",1,"The University of Texas at Austin","R1","TX",0.560604513,0.275175902,9.010000229,0.001021138,3.25999999,0.3997,0.0423,0.2354,0.2211,0.0013,9e-04,0.0536,0.0088,"latest"
"26",1,"Texas Tech University","R1","TX",0.496752243,0.323794678,8.600000381,0.00453655,3.029999971,0.5487,0.0651,0.2954,0.0293,0.0039,9e-04,0.0272,0.0044,"latest"
"27",2,"California Institute of Technology","R1","CA",0.456521739,0.257929520377949,6.650000095,0.00372473251787072,3.140000105,0.2711,0.0148,0.1382,0.404,0,0,0.0876,0,"latest"
"28",1,"University of California-Santa Cruz","R1","CA",0.543057997,0.367497508,7.980000019,0.00372473251787072,3.660000086,0.3035,0.019,0.276,0.2231,8e-04,0.0016,0.0783,0.0174,"latest"
"29",2,"Florida Institute of Technology","R2","FL",0.524374177,0.401340283,6.179999828,0.019433465,2.880000114,0.4943,0.0601,0.0926,0.024,0.0021,0.0029,0.282,0.0094,"latest"
"30",2,"Clark Atlanta University","R2","GA",0.762973352,0.322477309,12.07999992,0.00496156547632653,4.670000076,9e-04,0.888,0.0018,6e-04,0.0018,0,0.038,0.069,"latest"
"31",2,"Northwestern University","R1","IL",0.524346793,0.151571165,6,0.00372473251787072,3.049999952,0.4546,0.0594,0.1252,0.1734,9e-04,1e-04,0.0921,0.0375,"latest"
"32",1,"University of Illinois at Urbana-Champaign","R1","IL",0.494837172,0.2493021,5.599999905,0.001475094,3.140000105,0.4422,0.0604,0.1203,0.1895,5e-04,8e-04,0.1472,0.0057,"latest"
"33",1,"Indiana University-Bloomington","R1","IN",0.531570727,0.221149372,5.5,0.001227131,2.769999981,0.6908,0.0456,0.0648,0.0581,0.001,2e-04,0.0926,0.0022,"latest"
"34",1,"Louisiana State University and Agricultural & Mechanical College","R1","LA",0.572788919,0.266491985,11.57999992,0.003751262,3.650000095,0.7067,0.1254,0.0672,0.045,0.0044,0.0012,0.0188,0.0112,"latest"
"35",1,"Louisiana Tech University","R2","LA",0.486405836,0.311858407,14.57999992,0.00496156547632653,4.519999981,0.7054,0.1304,0.0411,0.0138,0.0044,5e-04,0.0203,0.0558,"latest"
"36",2,"Hampton University","R2","VA",0.691535151,0.197511664,9.569999695,0.00496156547632653,4.010000229,0.0142,0.9593,0.0131,0.0014,0.0025,3e-04,0.0082,8e-04,"latest"
"37",1,"University of Washington-Seattle Campus","R1","WA",0.574635542,0.327274533,6.570000172,0.003040873,3.619999886,0.3878,0.0298,0.0836,0.2536,0.0046,0.0043,0.1513,0.0107,"latest"
"38",1,"Marshall University","R2","WV",0.586842761,0.374023174,13.22000027,0.002741092,3.890000105,0.8427,0.0637,0.0219,0.0093,0.003,7e-04,0.0153,0.013,"latest"
"39",1,"West Virginia University","R1","WV",0.501255903,0.303916338,9.159999847,0.001708028,3.359999895,0.7975,0.0413,0.0386,0.0154,0.0012,9e-04,0.063,0.0028,"latest"
"40",1,"The University of Alabama","R1","AL",0.615252417,0.225712689,10.05000019,0.003974221,3.25999999,0.7774,0.0999,0.0499,0.0116,0.0035,0.001,0.0183,0.0045,"latest"
"41",1,"University of Alaska Fairbanks","R2","AK",0.594048288,0.398832685,8.449999809,0.01459854,6.559999943,0.5321,0.0326,0.0782,0.0195,0.1376,0.0082,0.0114,0.0891,"latest"
"42",1,"University of South Alabama","R2","AL",0.622936763,0.334257975,12.5,0.003215434,3.900000095,0.6058,0.2298,0.0367,0.0311,0.0063,0.0016,0.0283,0.0235,"latest"
"43",1,"University of Arkansas","R1","AR",0.558819396,0.259961487,9.56000042,0.002951511,3.799999952,0.7597,0.0413,0.0898,0.025,0.0087,9e-04,0.0279,0.0058,"latest"
"44",1,"University of California-Riverside","R1","CA",0.576886903,0.483469907,11.28999996,0.001410769,4.389999866,0.1142,0.0391,0.4103,0.3432,0.0016,0.0041,0.0371,0.011,"latest"
"45",1,"University of California-Davis","R1","CA",0.626724138,0.408311428,8.539999962,0.002586207,3.849999905,0.2376,0.022,0.2239,0.2731,0.0018,0.004,0.1712,0.0136,"latest"
"46",1,"Clemson University","R1","SC",0.50370934,0.172454385,7.550000191,0.00372473251787072,3.049999952,0.8152,0.0648,0.0485,0.0262,0.002,3e-04,0.0067,0.0025,"latest"
"47",1,"East Tennessee State University","R2","TN",0.583421666,0.376894809,10.48999977,0.002331991,3.160000086,0.816,0.0664,0.0296,0.0138,0.0019,0.0011,0.0257,0.0113,"latest"
"48",1,"Tennessee State University","R2","TN",0.661152468,0.374283896,12.28999996,0.00303281,4.239999771,0.1202,0.7482,0.0159,0.0075,0.0016,0,0.0733,0.0118,"latest"
"49",2,"Texas Christian University","R2","TX",0.602783726,0.204058625,6.46999979,0.00496156547632653,2.839999914,0.6929,0.0571,0.1404,0.0301,0.0083,0.002,0.0492,0.0103,"latest"
"50",1,"The University of Texas Rio Grande Valley","R2","TX",0.575874375,0.525982476,30.62000084,0.004568166,6.28000021,0.0249,0.0044,0.9059,0.012,1e-04,4e-04,0.0226,0.0266,"latest"
"51",2,"Brigham Young University-Provo","R2","UT",0.47952785,0.137956889,8.039999962,0.002950941,3.349999905,0.8141,0.0051,0.0634,0.0201,0.0027,0.0069,0.0326,0.0122,"latest"
"52",2,"Marquette University","R2","WI",0.585407001,0.193462898,5.170000076,0.00496156547632653,2.890000105,0.6922,0.0387,0.1324,0.0709,0.002,7e-04,0.027,0.0041,"latest"
"53",2,"University of New England","R2","ME",0.7390681,0.220730798,5.840000153,0.00496156547632653,2.75999999,0.8907,0.0122,0.0025,0.0298,0.0034,0.0013,0.0038,0.0378,"latest"
"54",2,"Clark University","R2","MA",0.656084656,0.162952646,6.489999771,0.00496156547632653,2.970000029,0.5866,0.04,0.087,0.0777,4e-04,0,0.1248,0.0577,"latest"
"55",2,"Harvard University","R1","MA",0.501538462,0.25708061,7.769999981,0.00372473251787072,3.460000038,0.4054,0.0803,0.1133,0.1922,0.0024,9e-04,0.1176,0.0191,"latest"
"56",2,"Worcester Polytechnic Institute","R2","MA",0.364922207,0.13377193,5.429999828,0.00496156547632653,2.769999981,0.6296,0.03,0.0925,0.0468,0.0031,4e-04,0.0925,0.0827,"latest"
"57",1,"University of Massachusetts-Dartmouth","R2","MA",0.508088676,0.351889339,6.210000038,0.005392451,3.130000114,0.5911,0.1636,0.1047,0.0388,0.0018,2e-04,0.022,0.0391,"latest"
"58",2,"The New School","R2","NY",0.753630203,0.194401244,8.979999542,0.00496156547632653,3.670000076,0.3342,0.052,0.1193,0.1012,5e-04,0.0012,0.3151,0.0346,"latest"
"59",1,"Stony Brook University","R1","NY",0.510155721,0.361408882,9.020000458,0.00372473251787072,3.559999943,0.3247,0.0711,0.1216,0.2596,0.001,6e-04,0.1352,0.0597,"latest"
"60",2,"Wake Forest University","R2","NC",0.507772021,0.119680851,5.329999924,0.00496156547632653,2.670000076,0.6913,0.0645,0.0712,0.0373,0.0011,2e-04,0.0997,2e-04,"latest"
"61",1,"University of Cincinnati-Main Campus","R1","OH",0.559846792,0.309751925,7.110000134,0.005346313,2.910000086,0.7428,0.0712,0.0337,0.0411,0.0012,4e-04,0.0445,0.0281,"latest"
