"","control","instnm","ccbasic","stabbr","npt4_pub","npt4_priv","costt4_a","grad_debt_mdn","avgfacsal","unemp_rate","year"
"962",2,"Lehigh University",16,"PA",NA,32501,60391,23575,13517,NA,"2016"
"963",1,"The University of Tennessee-Knoxville",15,"TN",19076,NA,29626,20500,11076,NA,"2016"
"964",1,"Rutgers University-Newark",16,"NJ",12360,NA,23299,22250,13647,NA,"2016"
"965",1,"New Mexico State University-Main Campus",16,"NM",9571,NA,17053,17000,8707,NA,"2016"
"966",2,"Columbia University in the City of New York",15,"NY",NA,22001,69021,21406,18763,NA,"2016"
"967",2,"Rochester Institute of Technology",16,"NY",NA,27348,50713,28000,10453,NA,"2016"
"968",2,"Rockefeller University",16,"NY",NA,NA,NA,NA,20057,NA,"2016"
"969",1,"Binghamton University",15,"NY",17870,NA,24093,19500,9779,NA,"2016"
"970",2,"Vanderbilt University",15,"TN",NA,17929,63532,14500,13877,NA,"2016"
"971",2,"Southern Methodist University",16,"TX",NA,32882,66889,20059,12829,NA,"2016"
"972",1,"The University of Texas at Arlington",15,"TX",13844,NA,22395,17750,9243,NA,"2016"
"973",1,"Texas State University",16,"TX",14725,NA,21122,20775.5,8000,NA,"2016"
"974",1,"University of North Texas",15,"TX",13759,NA,21003,20000,9978,NA,"2016"
"975",1,"George Mason University",15,"VA",19479,NA,24347,19500,10953,NA,"2016"
"976",1,"Washington State University",15,"WA",16278,NA,26441,20348.5,9888,NA,"2016"
"977",1,"Kansas State University",15,"KS",17023,NA,21989,22500,9106,NA,"2016"
"978",1,"University of Louisville",15,"KY",15968,NA,24768,19755,8724,NA,"2016"
"979",1,"University of Maine",16,"ME",15895,NA,22904,26000,9486,NA,"2016"
"980",1,"University of Maryland-College Park",15,"MD",16928,NA,24041,19500,13045,NA,"2016"
"981",1,"Morgan State University",16,"MD",16918,NA,23279,30726.5,8742,NA,"2016"
"982",1,"University of Massachusetts-Amherst",15,"MA",19324,NA,28000,23450.5,12254,NA,"2016"
"983",2,"Massachusetts Institute of Technology",15,"MA",NA,22549,63250,17125,18852,NA,"2016"
"984",1,"Ohio State University-Main Campus",15,"OH",17231,NA,25173,21500,12390,NA,"2016"
"985",1,"University of Pittsburgh-Pittsburgh Campus",15,"PA",28261,NA,32191,26899,10856,NA,"2016"
"986",1,"University of Colorado Colorado Springs",16,"CO",16029,NA,21038,21000,8322,NA,"2016"
"987",1,"University of Connecticut",15,"CT",21223,NA,29128,21500,11874,NA,"2016"
"988",1,"University of Central Florida",15,"FL",15409,NA,21168,18130,10506,NA,"2016"
"989",1,"Florida Agricultural and Mechanical University",16,"FL",13212,NA,20231,28002,8011,NA,"2016"
"990",1,"Florida Atlantic University",16,"FL",12605,NA,18992,16800,9178,NA,"2016"
"991",1,"University of Delaware",15,"DE",16736,NA,24557,24250,12904,NA,"2016"
"992",2,"American University",16,"DC",NA,35325,60501,23250,12045,NA,"2016"
"993",2,"The Catholic University of America",16,"DC",NA,34542,57561,26861,9748,NA,"2016"
"994",2,"Gallaudet University",16,"DC",NA,19384,35288,15000,10333,NA,"2016"
"995",2,"George Washington University",15,"DC",NA,35282,65218,25000,14659,NA,"2016"
"996",1,"Montclair State University",16,"NJ",21727,NA,24885,23000,10177,NA,"2016"
"997",1,"Rutgers University-New Brunswick",15,"NJ",20166,NA,29388,22250,11843,NA,"2016"
"998",1,"CUNY Graduate School and University Center",15,"NY",NA,NA,NA,8000,15498,NA,"2016"
"999",1,"Temple University",15,"PA",21335,NA,30166,25500,11070,NA,"2016"
"1000",2,"Thomas Jefferson University",16,"PA",NA,NA,NA,12500,8243,NA,"2016"
"1001",2,"Brown University",15,"RI",NA,28629,65380,16125,15579,NA,"2016"
"1002",1,"University of South Carolina-Columbia",15,"SC",19095,NA,26362,23000,10744,NA,"2016"
"1003",1,"South Dakota State University",16,"SD",21070,NA,25761,25000,8255,NA,"2016"
"1004",1,"University of Missouri-Columbia",15,"MO",17157,NA,23962,22000,9636,NA,"2016"
"1005",2,"Saint Louis University",16,"MO",NA,29157,54698,25750,10385,NA,"2016"
"1006",1,"University of Missouri-St Louis",16,"MO",11006,NA,22105,20460,8675,NA,"2016"
"1007",1,"The University of Montana",16,"MT",13978,NA,17883,22977,7817,NA,"2016"
"1008",2,"Dartmouth College",15,"NH",NA,27080,67044,14819,15278,NA,"2016"
"1009",1,"North Carolina State University at Raleigh",15,"NC",14682,NA,22226,20714,10964,NA,"2016"
"1010",2,"Duke University",15,"NC",NA,33665,67005,9200,16170,NA,"2016"
"1011",1,"Kennesaw State University",16,"GA",17832,NA,23759,20375,7167,NA,"2016"
"1012",2,"Howard University",16,"DC",NA,24156,43116,26000,9521,NA,"2016"
"1013",2,"Georgetown University",15,"DC",NA,29283,66971,15494.5,15382,NA,"2016"
"1014",2,"University of Miami",15,"FL",NA,30136,59833,19000,12367,NA,"2016"
"1015",1,"Idaho State University",16,"ID",16481,NA,19526,22674,7391,NA,"2016"
"1016",2,"DePaul University",16,"IL",NA,29752,50997,23256.5,10916,NA,"2016"
"1017",2,"University of Chicago",15,"IL",NA,19510,70100,15900,18469,NA,"2016"
"1018",1,"University of Illinois at Chicago",15,"IL",13562,NA,25131,18114.5,11151,NA,"2016"
"1019",1,"Ball State University",16,"IN",15521,NA,23157,24513.5,7514,NA,"2016"
"1020",1,"Georgia State University",15,"GA",14773,NA,24223,22206.5,8780,NA,"2016"
"1021",1,"University of Georgia",15,"GA",13822,NA,24991,18750,11177,NA,"2016"
"1022",1,"Northern Illinois University",16,"IL",19944,NA,28725,23208,8301,NA,"2016"
"1023",1,"Illinois State University",16,"IL",20969,NA,27421,21250,8268,NA,"2016"
"1024",2,"University of Notre Dame",15,"IN",NA,29313,64775,21434,14355,NA,"2016"
"1025",1,"Iowa State University",15,"IA",13947,NA,19182,23256,11173,NA,"2016"
"1026",1,"University of California-San Diego",15,"CA",14775,NA,31043,17500,16373,NA,"2016"
"1027",1,"San Diego State University",16,"CA",14585,NA,22056,15000,10903,NA,"2016"
"1028",2,"University of San Diego",16,"CA",NA,33821,61004,24000,12284,NA,"2016"
"1029",2,"University of Denver",16,"CO",NA,29453,59656,23804,10796,NA,"2016"
"1030",1,"University of Florida",15,"FL",12159,NA,20571,16195.5,11608,NA,"2016"
"1031",2,"Loyola University Chicago",16,"IL",NA,33764,54324,25000,10639,NA,"2016"
"1032",1,"University of New Orleans",16,"LA",10191,NA,18164,16500,7979,NA,"2016"
"1033",1,"University of Minnesota-Twin Cities",15,"MN",16993,NA,25370,20000,11927,NA,"2016"
"1034",1,"Western Michigan University",16,"MI",16824,NA,23598,26364,9972,NA,"2016"
"1035",1,"University of Massachusetts-Lowell",16,"MA",19095,NA,26318,24604.5,11606,NA,"2016"
"1036",1,"University of Michigan-Ann Arbor",15,"MI",14897,NA,27725,19153,11622,NA,"2016"
"1037",1,"Michigan State University",15,"MI",17120,NA,25809,25200,11802,NA,"2016"
"1038",1,"Jackson State University",16,"MS",13646,NA,21670,28000,7260,NA,"2016"
"1039",1,"Mississippi State University",15,"MS",15656,NA,22818,23000,8789,NA,"2016"
"1040",1,"University of Nevada-Reno",15,"NV",14164,NA,20702,18280,10193,NA,"2016"
"1041",2,"University of Rochester",15,"NY",NA,26604,65364,23276,12762,NA,"2016"
"1042",2,"New York University",15,"NY",NA,37362,67637,22900,14056,NA,"2016"
"1043",2,"Syracuse University",15,"NY",NA,30722,61070,27000,11808,NA,"2016"
"1044",1,"SUNY at Albany",15,"NY",16888,NA,23777,20500,9678,NA,"2016"
"1045",1,"SUNY College of Environmental Science and Forestry",16,"NY",17804,NA,24430,19200,8738,NA,"2016"
"1046",1,"University of North Carolina at Chapel Hill",15,"NC",13210,NA,24327,16661,12841,NA,"2016"
"1047",1,"University of North Carolina at Charlotte",16,"NC",14665,NA,19723,22500,9622,NA,"2016"
"1048",1,"Arizona State University-Downtown Phoenix",16,"AZ",11581,NA,24109,20000,9177,NA,"2016"
"1049",1,"University of Akron Main Campus",16,"OH",17424,NA,23039,25000,9837,NA,"2016"
"1050",1,"University of North Dakota",16,"ND",15045,NA,19290,24489,8377,NA,"2016"
"1051",1,"Texas A & M University-College Station",15,"TX",15440,NA,24682,18519.5,11879,NA,"2016"
"1052",1,"The University of Texas at El Paso",15,"TX",7058,NA,15306,17075,9055,NA,"2016"
"1053",1,"Texas Southern University",16,"TX",18953,NA,22909,29323.5,7598,NA,"2016"
"1054",1,"Virginia Commonwealth University",15,"VA",21405,NA,29278,23250,9306,NA,"2016"
"1055",1,"University of Virginia-Main Campus",15,"VA",19177,NA,29572,19000,14278,NA,"2016"
"1056",1,"University of Wisconsin-Milwaukee",15,"WI",17940,NA,21771,24348,8540,NA,"2016"
"1057",1,"Purdue University-Main Campus",15,"IN",13545,NA,22698,20428,12418,NA,"2016"
"1058",1,"University of Arizona",15,"AZ",16150,NA,24633,19000,11147,NA,"2016"
"1059",1,"Northern Arizona University",16,"AZ",14664,NA,25174,19500,8207,NA,"2016"
"1060",1,"University of California-Irvine",15,"CA",13712,NA,31198,16500,15447,NA,"2016"
"1061",2,"Loyola Marymount University",16,"CA",NA,38244,60371,22000,11733,NA,"2016"
"1062",2,"University of Dayton",16,"OH",NA,28866,53530,26100,8877,NA,"2016"
"1063",1,"University of Alabama in Huntsville",16,"AL",19423,NA,22059,22647,9442,NA,"2016"
"1064",1,"University of Alabama at Birmingham",15,"AL",16475,NA,22684,21833,10717,NA,"2016"
"1065",1,"Indiana University-Purdue University-Indianapolis",16,"IN",12861,NA,20257,23000,8512,NA,"2015"
"1066",1,"University of Kansas",15,"KS",18755,NA,23733,20454,10156,NA,"2015"
"1067",2,"Boston College",15,"MA",NA,33661,62968,19000,15323,NA,"2015"
"1068",1,"Oakland University",16,"MI",11929,NA,19475,25000,9452,NA,"2015"
"1069",1,"University of Mississippi",15,"MS",14284,NA,22704,19500,9217,NA,"2015"
"1070",1,"Missouri University of Science and Technology",16,"MO",14096,NA,21793,24265.5,10628,NA,"2015"
"1071",2,"Washington University in St Louis",15,"MO",NA,32873,65887,19500,14960,NA,"2015"
"1072",1,"Montana State University",15,"MT",16809,NA,18961,23683,8875,NA,"2015"
"1073",1,"University of Nebraska at Omaha",16,"NE",12505,NA,17148,19032,8377,NA,"2015"
"1074",1,"University of Nevada-Las Vegas",15,"NV",10915,NA,16791,18750,10778,NA,"2015"
"1075",1,"University of Colorado Boulder",15,"CO",21806,NA,30025,19154,11684,NA,"2015"
"1076",2,"University of Southern California",15,"CA",NA,29174,64536,22250,14712,NA,"2015"
"1077",2,"Yale University",15,"CT",NA,20910,63970,13500,19093,NA,"2015"
"1078",1,"Delaware State University",16,"DE",16099,NA,21182,28500,8272,NA,"2015"
"1079",1,"Florida International University",15,"FL",12427,NA,18727,16750,10514,NA,"2015"
"1080",1,"Florida State University",15,"FL",15664,NA,21463,20500,11108,NA,"2015"
"1081",1,"University of South Florida-Main Campus",15,"FL",11232,NA,19578,18875,10168,NA,"2015"
"1082",1,"University of Hawaii at Manoa",15,"HI",13441,NA,21177,18750,12163,NA,"2015"
"1083",2,"Mercer University",16,"GA",NA,20423,48016,25000,8639,NA,"2015"
"1084",1,"Georgia Southern University",16,"GA",16963,NA,22424,23000,6684,NA,"2015"
"1085",1,"Oregon State University",15,"OR",19020,NA,24418,23300,9910,NA,"2015"
"1086",1,"University of Memphis",16,"TN",13353,NA,22160,25000,8934,NA,"2015"
"1087",2,"Baylor University",16,"TX",NA,32657,53892,25000,9968,NA,"2015"
"1088",1,"Texas A & M University-Kingsville",16,"TX",12602,NA,20969,19297,7914,NA,"2015"
"1089",1,"The University of Texas at Austin",15,"TX",17742,NA,26119,22182.5,12940,NA,"2015"
"1090",1,"Texas Tech University",15,"TX",16804,NA,21869,22400,9228,NA,"2015"
"1091",2,"California Institute of Technology",15,"CA",NA,24760,60990,14350,19993,NA,"2015"
"1092",1,"University of California-Santa Cruz",15,"CA",17205,NA,34125,19950,14426,NA,"2015"
"1093",2,"Florida Institute of Technology",16,"FL",NA,28474,53942,27000,9694,NA,"2015"
"1094",2,"Clark Atlanta University",16,"GA",NA,32947,37061,31000,7467,NA,"2015"
"1095",2,"Northwestern University",15,"IL",NA,28155,65436,18000,17189,NA,"2015"
"1096",1,"University of Illinois at Urbana-Champaign",15,"IL",18143,NA,29568,20500,12525,NA,"2015"
"1097",1,"Indiana University-Bloomington",15,"IN",15349,NA,24326,22482.5,10467,NA,"2015"
"1098",1,"Louisiana State University and Agricultural & Mechanical College",15,"LA",11355,NA,22798,20682,10192,NA,"2015"
"1099",1,"Louisiana Tech University",16,"LA",9233,NA,18031,19500,7893,NA,"2015"
"1100",2,"Hampton University",16,"VA",NA,28272,35290,27000,7186,NA,"2015"
"1101",1,"University of Washington-Seattle Campus",15,"WA",12947,NA,25240,15000,13086,NA,"2015"
"1102",1,"Marshall University",16,"WV",9508,NA,17503,22264.5,7651,NA,"2015"
"1103",1,"West Virginia University",15,"WV",11206,NA,18460,23799,10123,NA,"2015"
"1104",1,"The University of Alabama",15,"AL",20575,NA,27205,23575,10225,NA,"2015"
"1105",1,"University of Alaska Fairbanks",16,"AK",9942,NA,16025,15750,9584,NA,"2015"
"1106",1,"University of South Alabama",16,"AL",15204,NA,19654,24125,7239,NA,"2015"
"1107",1,"University of Arkansas",15,"AR",14546,NA,21288,21500,9866,NA,"2015"
"1108",1,"University of California-Riverside",15,"CA",11760,NA,30946,19000,13408,NA,"2015"
"1109",2,"Claremont Graduate University",16,"CA",NA,NA,NA,NA,13883,NA,"2015"
"1110",1,"University of California-Davis",15,"CA",15047,NA,33265,14334,14603,NA,"2015"
"1111",1,"Clemson University",15,"SC",15885,NA,26373,21500,10218,NA,"2015"
"1112",1,"East Tennessee State University",16,"TN",15245,NA,22115,20250,7304,NA,"2015"
"1113",1,"Tennessee State University",16,"TN",10493,NA,18181,27000,7364,NA,"2015"
"1114",2,"Texas Christian University",16,"TX",NA,32005,53532,21444,11766,NA,"2015"
"1115",1,"The University of Texas Rio Grande Valley",16,"TX",4250,NA,12151,10312.5,6192,NA,"2015"
"1116",2,"Brigham Young University-Provo",16,"UT",NA,12597,17504,11000,10974,NA,"2015"
"1117",2,"Marquette University",16,"WI",NA,31093,49868,27000,9938,NA,"2015"
"1118",2,"University of New England",16,"ME",NA,31266,50090,27000,8888,NA,"2015"
"1119",2,"Clark University",16,"MA",NA,24040,49958,27000,10859,NA,"2015"
"1120",2,"Harvard University",15,"MA",NA,17882,62250,6413,20484,NA,"2015"
"1121",2,"Worcester Polytechnic Institute",16,"MA",NA,37002,59110,27000,12477,NA,"2015"
"1122",1,"University of Massachusetts-Dartmouth",16,"MA",16517,NA,24539,25586.5,10873,NA,"2015"
"1123",2,"The New School",16,"NY",NA,34945,60109,23750,11585,NA,"2015"
"1124",1,"Stony Brook University",15,"NY",13717,NA,22000,19000,12058,NA,"2015"
"1125",2,"Wake Forest University",16,"NC",NA,30831,62502,23000,11666,NA,"2015"
"1126",1,"University of Cincinnati-Main Campus",15,"OH",22180,NA,26370,22941.5,9936,NA,"2015"
"1127",1,"University of California-Merced",16,"CA",12999,NA,32361,19811,11225,NA,"2015"
"1128",2,"Clarkson University",16,"NY",NA,29243,59672,27000,10833,NA,"2015"
"1129",1,"CUNY City College",16,"NY",6002,NA,15472,11200,12469,NA,"2015"
"1130",2,"Fordham University",16,"NY",NA,34042,60867,26000,13782,NA,"2015"
"1131",2,"Rensselaer Polytechnic Institute",15,"NY",NA,34841,64198,27500,12554,NA,"2015"
"1132",1,"East Carolina University",16,"NC",15450,NA,21040,24644.5,8629,NA,"2015"
"1133",2,"Case Western Reserve University",15,"OH",NA,27949,59467,24000,11878,NA,"2015"
"1134",1,"North Dakota State University-Main Campus",16,"ND",15139,NA,19198,23250,9107,NA,"2015"
"1135",1,"Wayne State University",15,"MI",13258,NA,21588,22000,10622,NA,"2015"
"1136",1,"University of Nebraska-Lincoln",15,"NE",16705,NA,21758,21533,10936,NA,"2015"
"1137",1,"University of New Hampshire-Main Campus",15,"NH",24013,NA,30246,27000,11893,NA,"2015"
"1138",1,"Arizona State University-Tempe",15,"AZ",11337,NA,23440,20086,11451,NA,"2015"
"1139",2,"Princeton University",15,"NJ",NA,8848,59665,7500,20185,NA,"2015"
"1140",1,"Rutgers University-Camden",16,"NJ",14094,NA,24306,22000,11354,NA,"2015"
"1141",2,"Seton Hall University",16,"NJ",NA,27199,49945,25000,9807,NA,"2015"
"1142",2,"Stevens Institute of Technology",16,"NJ",NA,32869,62385,28250,13258,NA,"2015"
"1143",1,"Oklahoma State University-Main Campus",15,"OK",13894,NA,21494,20500,9060,NA,"2015"
"1144",2,"University of Pennsylvania",15,"PA",NA,25225,64200,13000,17887,NA,"2015"
"1145",1,"Utah State University",16,"UT",11559,NA,16702,13000,9214,NA,"2015"
"1146",1,"Old Dominion University",16,"VA",15935,NA,21942,23250,8428,NA,"2015"
"1147",1,"North Carolina A & T State University",16,"NC",9517,NA,16566,29000,8722,NA,"2015"
"1148",1,"Air Force Institute of Technology-Graduate School of Engineering & Management",16,"OH",NA,NA,NA,NA,NA,NA,"2015"
"1149",1,"Bowling Green State University-Main Campus",16,"OH",18437,NA,23723,26000,9101,NA,"2015"
"1150",1,"Kent State University at Kent",16,"OH",18978,NA,24602,25625,9143,NA,"2015"
"1151",2,"Azusa Pacific University",16,"CA",NA,27183,46441,22500,9160,NA,"2015"
"1152",2,"Chapman University",16,"CA",NA,36367,61231,20750,11826,NA,"2015"
"1153",1,"University of California-Berkeley",15,"CA",13197,NA,33989,13425,17125,NA,"2015"
"1154",1,"University of California-Los Angeles",15,"CA",13454,NA,32594,15000,18392,NA,"2015"
"1155",1,"University of Colorado Denver/Anschutz Medical Campus",15,"CO",14519,NA,19389,20250,10640,NA,"2015"
"1156",1,"University of Kentucky",15,"KY",16298,NA,24738,22500,10688,NA,"2015"
"1157",1,"Michigan Technological University",16,"MI",15237,NA,26306,26750,10344,NA,"2015"
"1158",1,"New Jersey Institute of Technology",15,"NJ",17486,NA,28150,22750,12544,NA,"2015"
"1159",1,"University of New Mexico-Main Campus",15,"NM",9027,NA,17000,19117,9057,NA,"2015"
"1160",2,"Nova Southeastern University",16,"FL",NA,23765,41965,25000,10230,NA,"2015"
"1161",1,"University of Idaho",16,"ID",13709,NA,19418,24075,9346,NA,"2015"
"1162",1,"Wichita State University",16,"KS",14945,NA,17119,20000,7873,NA,"2015"
"1163",2,"Tulane University of Louisiana",15,"LA",NA,32475,62856,27292,11783,NA,"2015"
"1164",1,"University of Louisiana at Lafayette",16,"LA",9459,NA,17007,19275,8337,NA,"2015"
"1165",1,"University of Maryland-Baltimore County",16,"MD",18827,NA,22873,20500,9869,NA,"2015"
"1166",1,"University of Maryland Eastern Shore",16,"MD",15453,NA,22081,27000,8202,NA,"2015"
"1167",2,"Johns Hopkins University",15,"MD",NA,34455,63509,14844,13332,NA,"2015"
"1168",2,"Illinois Institute of Technology",16,"IL",NA,18854,53585,27000,12396,NA,"2015"
"1169",1,"Southern Illinois University-Carbondale",16,"IL",16048,NA,25692,22308,7652,NA,"2015"
"1170",1,"University of Iowa",15,"IA",14085,NA,20861,21500,10160,NA,"2015"
"1171",2,"Emory University",15,"GA",NA,25941,61344,17000,14486,NA,"2015"
"1172",1,"Georgia Institute of Technology-Main Campus",15,"GA",11574,NA,24629,23750,12727,NA,"2015"
"1173",1,"Boise State University",16,"ID",13718,NA,17670,22371,8091,NA,"2015"
"1174",1,"University of Massachusetts-Boston",16,"MA",11789,NA,20496,22000,10730,NA,"2015"
"1175",2,"Boston University",15,"MA",NA,34910,63588,25500,14136,NA,"2015"
"1176",2,"Brandeis University",15,"MA",NA,28370,63222,27000,13176,NA,"2015"
"1177",1,"Central Michigan University",16,"MI",14509,NA,22357,27000,9350,NA,"2015"
"1178",1,"Eastern Michigan University",16,"MI",12675,NA,19570,25420,9744,NA,"2015"
"1179",2,"Tufts University",15,"MA",NA,29565,63358,18000,12396,NA,"2015"
"1180",2,"Northeastern University",15,"MA",NA,28869,60179,27750,13158,NA,"2015"
"1181",1,"Auburn University",15,"AL",22183,NA,29164,21500,10428,NA,"2015"
"1182",1,"Arkansas State University-Main Campus",16,"AR",12152,NA,20349,18870,6902,NA,"2015"
"1183",1,"University of Arkansas at Little Rock",16,"AR",12218,NA,20714,19750,7623,NA,"2015"
"1184",1,"University of California-Santa Barbara",15,"CA",14748,NA,34493,16171,15994,NA,"2015"
"1185",1,"Colorado School of Mines",16,"CO",24929,NA,30990,26000,12065,NA,"2015"
"1186",1,"Colorado State University-Fort Collins",15,"CO",16777,NA,23137,21000,10039,NA,"2015"
"1187",1,"Arizona State University-Skysong",16,"AZ",13990,NA,21255,20086,8939,NA,"2015"
"1188",2,"University of Tulsa",16,"OK",NA,25355,50116,26984,10564,NA,"2015"
"1189",2,"Villanova University",16,"PA",NA,36563,60556,26437,11165,NA,"2015"
"1190",1,"Texas A & M University-Corpus Christi",16,"TX",14361,NA,18941,22875,8252,NA,"2015"
"1191",1,"University of Houston",15,"TX",14134,NA,23267,19660,11900,NA,"2015"
"1192",2,"Rice University",15,"TX",NA,21024,56316,10250,15985,NA,"2015"
"1193",1,"The University of Texas at Dallas",15,"TX",12940,NA,23133,18548,12652,NA,"2015"
"1194",1,"The University of Texas at San Antonio",16,"TX",11843,NA,18962,22833,9062,NA,"2015"
"1195",1,"University of Vermont",16,"VT",17414,NA,29332,22250,10205,NA,"2015"
"1196",1,"University of Southern Mississippi",15,"MS",12175,NA,20275,25000,7711,NA,"2015"
"1197",1,"University of Missouri-Kansas City",16,"MO",14418,NA,20927,21000,9041,NA,"2015"
"1198",1,"Rowan University",16,"NJ",22383,NA,27078,20000,8693,NA,"2015"
"1199",2,"Cornell University",15,"NY",NA,29711,63596,12000,15156,NA,"2015"
"1200",2,"Yeshiva University",16,"NY",NA,27012,56555,19189,12178,NA,"2015"
"1201",2,"Teachers College at Columbia University",16,"NY",NA,NA,NA,NA,14573,NA,"2015"
"1202",1,"University at Buffalo",15,"NY",16695,NA,23249,19500,10636,NA,"2015"
"1203",1,"University of North Carolina Wilmington",16,"NC",15909,NA,21050,20500,8442,NA,"2015"
"1204",1,"University of North Carolina at Greensboro",16,"NC",11102,NA,18357,22500,8757,NA,"2015"
"1205",1,"Miami University-Oxford",16,"OH",22011,NA,29423,24608,9534,NA,"2015"
"1206",1,"Cleveland State University",16,"OH",17136,NA,21932,21399,9548,NA,"2015"
"1207",1,"University of Toledo",16,"OH",14839,NA,22057,23331,8943,NA,"2015"
"1208",1,"Ohio University-Main Campus",16,"OH",20826,NA,25483,20500,9082,NA,"2015"
"1209",1,"Wright State University-Main Campus",16,"OH",14101,NA,19446,25000,9531,NA,"2015"
"1210",1,"University of Oregon",15,"OR",15769,NA,23373,21000,10385,NA,"2015"
"1211",1,"Portland State University",16,"OR",14323,NA,20130,22000.5,9650,NA,"2015"
"1212",2,"Drexel University",15,"PA",NA,37747,66078,26000,11064,NA,"2015"
"1213",1,"Pennsylvania State University-Main Campus",15,"PA",29226,NA,34258,26687,11139,NA,"2015"
"1214",1,"Tennessee Technological University",16,"TN",13962,NA,22514,16000,8176,NA,"2015"
"1215",1,"University of Wyoming",16,"WY",11813,NA,18691,18239,9846,NA,"2015"
"1216",1,"University of Wisconsin-Madison",15,"WI",19378,NA,24315,21796.5,12350,NA,"2015"
"1217",1,"University of Puerto Rico-Rio Piedras",16,"PR",3171,NA,7312,5500,7118,NA,"2015"
"1218",3,"Ponce Health Sciences University",16,"PR",NA,NA,NA,NA,4149,NA,"2015"
"1219",2,"Stanford University",15,"CA",NA,13857,62363,12000,20279,NA,"2015"
"1220",1,"William & Mary",16,"VA",18300,NA,31175,19500,11141,NA,"2015"
"1221",1,"University of Utah",15,"UT",13969,NA,19447,14777,10727,NA,"2015"
"1222",1,"Virginia Polytechnic Institute and State University",15,"VA",20172,NA,25837,23800,11660,NA,"2015"
"1223",1,"University of Rhode Island",16,"RI",19177,NA,27100,23250,9488,NA,"2015"
"1224",1,"University of South Dakota",16,"SD",16396,NA,20129,25000,7895,NA,"2015"
"1225",1,"University of Oklahoma-Norman Campus",15,"OK",16418,NA,23906,19708,9806,NA,"2015"
"1226",2,"Carnegie Mellon University",15,"PA",NA,34857,63804,26200,12165,NA,"2015"
"1227",2,"Duquesne University",16,"PA",NA,27412,45754,27000,9376,NA,"2015"
"1228",2,"Lehigh University",16,"PA",NA,33300,58541,24250,13517,NA,"2015"
"1229",1,"The University of Tennessee-Knoxville",15,"TN",18138,NA,29420,19900,11076,NA,"2015"
"1230",1,"Rutgers University-Newark",16,"NJ",13705,NA,24233,22000,13647,NA,"2015"
"1231",1,"New Mexico State University-Main Campus",16,"NM",9663,NA,17572,16750,8707,NA,"2015"
"1232",2,"Columbia University in the City of New York",15,"NY",NA,21031,66604,21500,18763,NA,"2015"
"1233",2,"Rochester Institute of Technology",16,"NY",NA,26410,49013,28000,10453,NA,"2015"
"1234",2,"Rockefeller University",16,"NY",NA,NA,NA,NA,20057,NA,"2015"
"1235",1,"Binghamton University",15,"NY",18872,NA,23482,19500,9779,NA,"2015"
"1236",2,"Vanderbilt University",15,"TN",NA,18144,62320,13947.5,13877,NA,"2015"
"1237",2,"Southern Methodist University",16,"TX",NA,32580,63364,21500,12829,NA,"2015"
"1238",1,"The University of Texas at Arlington",15,"TX",14059,NA,21900,17820,9243,NA,"2015"
"1239",1,"Texas State University",16,"TX",14676,NA,20506,21081,8000,NA,"2015"
"1240",1,"University of North Texas",15,"TX",12784,NA,20291,19909,9978,NA,"2015"
"1241",1,"George Mason University",15,"VA",19245,NA,23607,19500,10953,NA,"2015"
"1242",1,"Washington State University",15,"WA",17878,NA,27402,20327,9888,NA,"2015"
"1243",1,"Kansas State University",15,"KS",17401,NA,22002,22500,9106,NA,"2015"
"1244",1,"University of Louisville",15,"KY",15782,NA,23873,19500,8724,NA,"2015"
"1245",1,"University of Maine",16,"ME",15955,NA,22444,26000,9486,NA,"2015"
"1246",1,"University of Maryland-College Park",15,"MD",15634,NA,23889,19500,13045,NA,"2015"
"1247",1,"Morgan State University",16,"MD",16225,NA,22422,31000,8742,NA,"2015"
"1248",1,"University of Massachusetts-Amherst",15,"MA",18869,NA,26726,23845.5,12254,NA,"2015"
"1249",2,"Massachusetts Institute of Technology",15,"MA",NA,22968,61030,17355,18852,NA,"2015"
"1250",1,"Ohio State University-Main Campus",15,"OH",18099,NA,25306,21500,12390,NA,"2015"
"1251",1,"University of Pittsburgh-Pittsburgh Campus",15,"PA",27917,NA,32754,26809,10856,NA,"2015"
"1252",1,"University of Colorado Colorado Springs",16,"CO",14649,NA,18875,20671,8322,NA,"2015"
"1253",1,"University of Connecticut",15,"CT",20023,NA,28016,21500,11874,NA,"2015"
"1254",1,"University of Central Florida",15,"FL",14221,NA,19911,18114,10506,NA,"2015"
"1255",1,"Florida Agricultural and Mechanical University",16,"FL",11679,NA,19413,28745,8011,NA,"2015"
"1256",1,"Florida Atlantic University",16,"FL",13427,NA,18805,16500,9178,NA,"2015"
"1257",1,"University of Delaware",15,"DE",15992,NA,24086,24000,12904,NA,"2015"
"1258",2,"American University",16,"DC",NA,36480,58965,24250,12045,NA,"2015"
"1259",2,"The Catholic University of America",16,"DC",NA,35188,56084,26000,9748,NA,"2015"
"1260",2,"Gallaudet University",16,"DC",NA,14764,34298,16500,10333,NA,"2015"
"1261",2,"George Washington University",15,"DC",NA,33637,63159,24900,14659,NA,"2015"
"1262",1,"Montclair State University",16,"NJ",22377,NA,25270,22883,10177,NA,"2015"
"1263",1,"Rutgers University-New Brunswick",15,"NJ",19924,NA,29076,22000,11843,NA,"2015"
"1264",1,"CUNY Graduate School and University Center",15,"NY",NA,NA,NA,9680,15498,NA,"2015"
